service,connection,phrase,weight
HighSpeed,Any,Broadband congestion cx using more than 80 of the speed plan occasional slowspeed in.,12
HighSpeed,Any,Cx using more than 80 of the speed plan occasional slowspeed.,12
HighSpeed,Any,Offer WiFi plus and cx refuses for now but he will think about the.,12
HighSpeed,Any,Offer WiFi plus and cx refuses for now but he will.,12
HighSpeed,Any,Offer WiFi plus and cx refuses for now but.,12
HighSpeed,Any,Offer WiFi plus and cx refuses for.,12
HighSpeed,Any,Wifi plus and cx refuses for now but he.,12
HighSpeed,Any,Wifi plus and cx refuses for now.,12
HighSpeed,Any,Cx using more than 80 of the speed plan occasional slowspeed in some devices.,9
HighSpeed,Any,Cx able to connect to WiFi.,8
HighSpeed,Any,Check adc and camera is connected to WiFi.,6
HighSpeed,Any,Occasional slowspeed in some devices advice cx about.,6
HighSpeed,Any,Of the speed plan occasional slowspeed in some devices advice cx.,6
HighSpeed,Any,Plan occasional slowspeed in some devices advice cx.,6
HighSpeed,Any,Slowspeed in some devices advice cx.,6
HighSpeed,Any,Speed plan occasional slowspeed in some devices advice cx about.,6
HighSpeed,Any,Than 80 of the speed plan occasional slowspeed in some devices advice cx about.,6
HighSpeed,Any,A lot of disconnections and slow speed next to modem.,4
HighSpeed,Any,Advice cx to pause download and we run another speedtest on cellphones.,4
HighSpeed,Any,After 2 attempts cx was able tu install camera using new WiFi password.,4
HighSpeed,Any,After NAH rebooted reboot booster and then reboot wstb.,4
HighSpeed,Any,Ask cx and he inform there are extra boosters on the house.,4
HighSpeed,Any,Booster is right next of the bedroom.,4
HighSpeed,Any,But he still getting 400mbps or les in computer connected wireless next to booster.,4
HighSpeed,Any,Call cx back and run another speedtest.,4
HighSpeed,Any,Check WiFi and cx have an extender.,4
HighSpeed,Any,Check WiFi and cx reboot modem yesterday.,4
HighSpeed,Any,Check adc and cameras not connected to WiFi right now.,4
HighSpeed,Any,Check network and cx is connected to WiFi.,4
HighSpeed,Any,Check speed and cx get good WiFi.,4
HighSpeed,Any,Continue with troubleshoot steps after consultation and run speedtest.,4
HighSpeed,Any,Cx able to connect to WiFi but no dataflow.,4
HighSpeed,Any,Cx already reboot boosters and still without intenret.,4
HighSpeed,Any,Cx also ask for help with WiFi issue.,4
HighSpeed,Any,Cx also reboot NAH and boosters and still same isuse.,4
